timestamp,person,position,track_id
2023-11-20 22:20:19,Both,right,43zdsphuZLzwA9k4DJhU0I
2023-11-20 22:22:21,Both,right,2rXVtoLBHuXcNB5DVfIc9p
2023-11-20 22:25:20,Both,right,2rXVtoLBHuXcNB5DVfIc9p
2023-11-20 22:28:10,Both,right,4YwNf1fLZt9IQhJeHNWfBi
2023-11-20 22:31:08,Both,right,5GUYJTQap5F3RDQiCOJhrS
2023-11-20 23:20:49,Both,right,16qYlQ6koFxYVbiJbGHblz
2023-11-20 23:23:39,Both,right,4Ozmbn4LIW5WVZhhHuk1Gp
2023-11-20 23:26:12,Both,right,3ijXR4yXgN43eF54uK7oos
2023-11-20 23:29:06,Both,right,2ZWlPOoWh0626oTaHrnl2a
2023-11-20 23:31:06,Both,right,4Ozmbn4LIW5WVZhhHuk1Gp
2023-11-21 00:04:02,Both,right,1FBuBhNZ8dmjUBWR58UOQv
2023-11-21 00:06:28,Both,right,7KZ5MMVgBVox9ycroB2UrI
2023-11-21 00:09:17,Both,right,1FBuBhNZ8dmjUBWR58UOQv
2023-11-21 00:11:22,Both,right,2LMkwUfqC6S6s6qDVlEuzV
2023-11-21 00:14:03,Both,right,43zdsphuZLzwA9k4DJhU0I
2023-11-21 00:16:29,Both,right,7aSyG7cskkG3zhfO2JLxq3
2023-11-21 00:18:29,Both,right,3s7MCdXyWmwjdcWh7GWXas
2023-11-21 00:20:39,Avi,right,1DWZUa5Mzf2BwzpHtgbHPY
2023-11-21 00:23:33,Avi,right,2JUqYobT8NvARdPmc4ES2x
2023-11-21 00:25:43,Avi,right,35xSkNIXi504fcEwz9USRB
2023-11-21 00:28:01,Avi,right,4QIo4oxwzzafcBWkKjDpXY
2023-11-21 00:30:11,Avi,right,19YKaevk2bce4odJkP5L22
2023-11-21 00:32:17,Avi,right,16umSNZfofRpDqTvf8DIAo
2023-11-21 00:34:18,Avi,right,5H4PU7wBIXL259apGjSpOr
2023-11-21 00:37:07,Avi,right,0yhxBvedRdGxsPZHJNI4VA
2023-11-21 00:39:53,Avi,right,2LMkwUfqC6S6s6qDVlEuzV
2023-11-21 00:42:00,Avi,right,5H4PU7wBIXL259apGjSpOr
2023-11-21 00:44:10,Avi,right,12dtBMOafWqGvjJhKxAJ7q
2023-11-21 00:46:36,Avi,right,73D5hBkiVZkopZrmBZTBWf
2023-11-21 00:49:31,Avi,right,4xR3MAscflQ262kMeiKshQ
2023-11-21 00:51:39,Avi,right,5H4PU7wBIXL259apGjSpOr
2023-11-21 00:54:02,Avi,right,3s7MCdXyWmwjdcWh7GWXas
2023-11-21 00:56:25,Avi,right,3Fj47GNK2kUF0uaEDgXLaD
2023-11-21 00:58:40,Avi,right,0fl8Tsy98InF9qnM6vrZ60
2023-11-21 09:43:41,Avi,right,0M3HkE321xpCbCYqVKzr1q
2023-11-21 09:45:49,Avi,right,3QGsuHI8jO1Rx4JWLUh9jd
2023-11-21 09:48:31,Avi,right,6s24LFkjo06wYVpxJppovm
2023-11-21 09:51:01,Avi,right,53y0PxHoy72RaSPkehY4zb
2023-11-21 09:54:00,Avi,right,7B3z0ySL9Rr0XvZEAjWZzM
2023-11-21 09:56:25,Sarthak,left,75KFRFmcuGFkWlP0QAwFvq
2023-11-21 09:59:09,Sarthak,left,4rAg5bbrdZX00mXXhLvYXj
2023-11-21 10:01:49,Sarthak,left,1TweDM3JC49LNeelLVg3yX
2023-11-21 10:04:00,Sarthak,left,3GZD6HmiNUhxXYf8Gch723
2023-11-21 10:06:01,Sarthak,left,6olUplztLFFfU7fMYmFXOP
2023-11-21 10:08:35,Sarthak,left,1au2UduxcvHfa0fZS3Szci
2023-11-21 10:10:47,Sarthak,left,17sPXQa8bT24ToCYHXuQXI
2023-11-21 10:13:00,Sarthak,left,6R837L5prXTflEAD2GI6vX
2023-11-21 10:15:43,Sarthak,left,7yNf9YjeO5JXUE3JEBgnYc
2023-11-21 10:18:15,Sarthak,left,0M3HkE321xpCbCYqVKzr1q
2023-11-21 10:20:54,Sarthak,left,4qYLPta5HZ36idWiXtqh7B
2023-11-21 10:23:14,Both,both,0R0zZnqPg7yOWb4PRmW8nC
2023-11-21 10:25:46,Both,both,17sPXQa8bT24ToCYHXuQXI
2023-11-21 10:28:27,Both,both,3HgA5R5alihocnOYE9ihpS
2023-11-21 10:30:49,Both,both,66Q3fAmSX5eHamgbKa9alP
2023-11-21 10:33:34,Both,both,2dOFYqJnQXlllhzzIbQtUP
2023-11-21 10:35:55,Both,both,0GEYcEQvjY0lOVeALByDbu
2023-11-21 11:27:30,Both,both,3w3y8KPTfNeOKPiqUTakBh
2023-11-21 12:00:08,Both,both,47Slg6LuqLaX0VodpSCvPt
2023-11-21 12:55:21,Both,both,6ie2Bw3xLj2JcGowOlcMhb
2023-11-21 12:57:30,Both,both,6VrLYoQKdhu1Jruei06t65
2023-11-21 13:00:22,Both,both,2PLOCIYlFr8XxNsz0Lgs4l
2023-11-21 13:02:26,Both,both,7B3z0ySL9Rr0XvZEAjWZzM
2023-11-21 13:05:01,Both,both,0KyAGiNGUytG5JLxJu4F6l
2023-11-21 13:07:21,Both,both,4rAg5bbrdZX00mXXhLvYXj
2023-11-21 13:10:17,Both,both,7IdFdRlCjUi6kkhbPoRfnw
2023-11-21 13:12:33,Both,both,13YyYNBofurxZCNYiFDibB
2023-11-21 13:15:21,Both,both,6ie2Bw3xLj2JcGowOlcMhb
2023-11-21 13:18:03,Both,both,4iJyoBOLtHqaGxP12qzhQI
2023-11-21 13:20:41,Both,both,4iJyoBOLtHqaGxP12qzhQI
2023-11-21 13:23:25,Both,both,0gR8HJmT457poShbgYXmV8
2023-11-21 13:25:49,Both,both,1OCre7xil1ym1eXXC4rEM6
2023-11-21 13:28:21,Both,both,03ZkvqZOANKndGXfAAPywG
